# AndroidClient mimuroto
1.141803 0.128000
1.406285 1.792000
6.406285 2.048000
11.406285 1.792000
16.406285 2.048000
21.406285 2.048000
26.406285 2.048000
31.406285 2.048000
61.290481 1.024000
68.169818 1.024000
83.994515 0.768000
89.067126 0.768000
99.129290 0.768000
117.573487 0.640000
133.474921 0.512000
146.248671 0.512000
158.928709 0.512000
171.926760 0.384000
182.319842 0.384000
192.335345 0.384000
202.532568 0.384000
212.642690 0.384000
222.537259 0.384000
231.648477 0.384000
241.933021 0.384000
251.800374 0.384000
261.350947 0.256000
267.463679 0.256000
274.911569 0.256000
281.078030 0.256000
287.361412 0.256000
293.030236 0.256000
300.808404 0.256000
306.637077 0.256000
312.234527 0.256000
319.310304 0.256000
325.391789 0.256000
331.605873 0.256000
337.783902 0.256000
343.792771 0.256000
349.948282 0.256000
357.519367 0.256000
365.406225 0.256000
374.019012 0.256000
380.083341 0.256000
386.025485 0.256000
392.916808 0.256000
401.526283 0.256000
409.463686 0.256000
416.566615 0.256000
422.397552 0.256000
430.206342 0.256000
436.558423 0.256000
442.743458 0.256000
449.954974 0.256000
456.617248 0.256000
464.102515 0.256000
470.581480 0.256000
477.298422 0.256000
485.233454 0.256000
492.142655 0.256000
499.326825 0.256000
508.258267 0.256000
513.429818 0.256000
518.429818 0.256000
525.640665 0.256000
531.305996 0.256000
537.479683 0.256000
542.479683 0.256000
550.855014 0.256000
557.976345 0.256000
564.483279 0.256000
569.483279 0.256000
574.483279 0.256000
579.483279 0.256000
584.483279 0.256000
589.483279 0.256000
594.483279 0.256000
599.483279 0.256000
604.483279 0.256000
609.483279 0.256000
614.483279 0.256000
619.483279 0.256000
624.483279 0.256000
629.483279 0.256000
634.483279 0.256000
639.483279 0.256000
644.483279 0.256000
649.483279 0.256000
654.483279 0.256000
659.483279 0.256000
664.483279 0.256000
669.483279 0.256000
674.483279 0.256000
679.483279 0.256000
684.483279 0.256000
689.483279 0.256000
694.483279 0.256000
699.483279 0.256000
704.483279 0.256000
709.483279 0.256000
714.483279 0.256000
719.483279 0.256000
724.483279 0.256000
729.483279 0.128000
734.483279 0.128000
739.483279 0.128000
744.483279 0.128000
749.483279 0.128000
754.483279 0.128000
759.483279 0.128000
764.483279 0.128000
769.483279 0.128000
774.483279 0.128000
779.483279 0.128000
784.483279 0.128000
789.483279 0.128000
794.483279 0.128000
799.483279 0.128000
804.483279 0.128000
809.483279 0.128000
814.483279 0.128000
819.483279 0.128000
824.483279 0.128000
829.483279 0.128000
834.483279 0.128000
839.483279 0.128000
844.483279 0.128000
849.483279 0.128000
854.483279 0.128000
859.483279 0.128000
864.483279 0.128000
869.483279 0.128000
874.483279 0.256000
879.483279 0.256000
884.483279 0.256000
889.483279 0.256000
894.483279 0.256000
899.483279 0.256000
904.483279 0.256000
909.483279 0.256000
914.483279 0.256000
919.483279 0.256000
924.483279 0.256000
929.483279 0.256000
934.483279 0.256000
939.483279 0.256000
944.483279 0.256000
949.483279 0.256000
954.483279 0.256000
959.483279 0.256000
964.483279 0.256000
969.483279 0.384000
974.483279 0.384000
979.483279 0.384000
984.483279 0.384000
989.483279 0.384000
994.483279 0.384000
999.483279 0.384000
1004.483279 0.512000
1009.483279 0.512000
1014.483279 0.512000
1019.483279 0.512000
1024.483279 0.512000
1029.483279 0.640000
1034.483279 0.640000
1039.483279 0.640000
1044.483279 0.640000
1049.483279 0.768000
1054.483279 0.896000
1059.483279 0.896000
1064.483279 0.896000
1069.483279 1.024000
1074.483279 1.024000
1079.483279 1.024000
1084.483279 1.024000
1089.483279 1.024000
1094.483279 1.024000
1099.483279 1.280000
1104.483279 1.280000
