0.109470    427        10410      109.470    1.0      1      
0.175240    487        134        3.189      1.3      3      
0.179050    476        182        18.031     1.1      2      
0.241227    517        1167       77.233     1.2      3      
0.305938    851        1375       102.101    1.4      3      
0.320007    3301       14653      38.617     1.5      2      
0.388851    456        1202       6.949      1.6      2      
0.460568    476        182        2.798      1.1      1      
0.499165    436        419        3.112      1.8      3      
0.568464    746        6066       106.058    1.7      2      
0.607694    424        7376       21.451     1.9      3      
0.616103    373        1028       4.801      1.10     4      
0.632033    310        630        20.100     1.11     3      
0.641686    746        2895       10.254     1.7      2      
0.675357    476        182        100.590    1.1      2      
0.684363    746        2940       8.854      1.7      1      
0.824101    472        116        1.568      1.12     1      
1.013060    789        20152      19.526     1.13     1      
1.154874    416        168        1.510      1.15     2      
1.192922    416        168        4.005      1.15     2      
1.229432    427        242        100.695    1.14     3      
1.254564    416        168        7.922      1.15     3      
1.255739    334        938        21.586     1.17     3      
1.261278    1278       105        55.735     1.16     2      
1.339587    452        2647       5.415      1.18     2      
1.512807    287        594        100.929    1.19     2      
1.565731    410        1944       5.391      1.20     3      
1.579228    446        3460       10.322     1.22     3      
1.579535    492        5168       16.887     1.21     3      
1.598401    495        112        3.580      1.23     2      
1.629300    455        9474       21.850     1.24     2      
1.652197    428        13717      14.579     1.25     3      
1.692107    455        701        3.707      1.24     2      
1.754512    455        572        7.438      1.24     2      
1.817979    443        132        3.109      1.28     5      
1.818982    449        4885       13.854     1.27     5      
1.835227    406        482        14.808     1.29     6      
1.841973    727        329        21.391     1.30     6      
1.867668    455        775        20.069     1.24     6      
1.886727    416        168        10.753     1.15     6      
1.920621    377        119        26.265     1.33     6      
1.926197    429        554        82.226     1.32     6      
1.926681    467        123269     136.749    1.26     5      
1.954051    808        185        119.342    1.31     3      
2.018232    455        1386       101.633    1.24     3      
2.020769    425        2691       4.819      1.34     2      
2.029224    431        1671       2.919      1.35     3      
2.090492    1043       256        47.251     1.37     3      
2.099130    449        22862      71.177     1.36     2      
2.107630    727        10856      110.749    1.30     2      
2.133423    442        27103      26.003     1.38     5      
2.135414    403        1100       3.905      1.41     4      
2.143944    283        4555       23.155     1.40     3      
2.213745    678        3011       104.013    1.39     2      
2.228368    12280      1665       13.630     1.42     2      
2.342712    727        3861       104.054    1.30     1      
2.377945    424        4196       6.062      1.43     1      
2.552365    553        2889       5.779      1.44     1      
2.555271    318        721        1.449      1.45     1      
2.609063    273        309        2.272      1.46     1      
2.622444    2088       174        4.421      1.47     1      
2.638249    887        720        5.134      1.48     1      
2.783361    344        10524      31.539     1.49     1      
2.799326    434        142        7.080      1.50     1      
2.860603    439        67         3.962      1.52     2      
2.930491    1515       463        101.838    1.51     2      
2.967982    265        576        100.897    1.53     2      
2.980325    1515       3138       6.105      1.51     2      
3.009877    265        3129       4.170      1.53     2      
3.079341    356        1455       3.293      1.55     4      
3.108898    540        1013       47.979     1.54     3      
3.186541    1515       1383       3.616      1.51     2      
