# WEMAClient mimuroto
156.020250 0.128000  156.246681 0.128000 
156.296681 2.816000  161.054450 2.816000 
161.104450 2.816000  165.830441 2.816000 
165.880441 2.816000  170.651846 2.816000 
170.880441 2.816000  175.640640 2.816000 
175.880441 2.816000  180.630859 2.816000 
180.880441 2.816000  185.629049 2.816000 
185.880441 2.816000  190.543333 2.816000 
190.880441 2.816000  195.577434 2.816000 
195.880441 2.816000  200.580470 2.816000 
200.880441 2.816000  205.545617 2.816000 
205.880441 2.816000  210.556713 2.816000 
210.880441 2.816000  215.555343 2.816000 
215.880441 2.816000  220.550502 2.816000 
220.880441 2.816000  225.589968 2.816000 
225.880441 2.816000  230.542241 2.816000 
230.880441 2.816000  235.554418 2.816000 
235.880441 2.816000  240.536489 2.816000 
240.880441 2.816000  245.578213 2.816000 
245.880441 2.816000  250.555233 2.816000 
250.880441 2.816000  255.553036 2.816000 
255.880441 2.816000  260.569577 2.816000 
260.880441 2.816000  265.558805 2.816000 
265.880441 2.816000  270.577350 2.816000 
270.880441 2.816000  275.532439 2.816000 
275.880441 2.816000  280.567628 2.816000 
280.880441 2.816000  285.590913 2.816000 
285.880441 2.816000  290.565180 2.816000 
290.880441 2.816000  295.506001 2.816000 
295.880441 2.816000  300.451406 2.816000 
300.880441 3.072000  305.972924 3.072000 
305.972924 2.816000  310.618664 2.816000 
310.880441 2.816000  315.473388 2.816000 
315.880441 2.816000  320.474822 2.816000 
320.880441 2.816000  325.480718 2.816000 
325.880441 2.816000  330.436591 2.816000 
330.880441 3.072000  335.874990 3.072000 
335.880441 3.072000  341.060503 3.072000 
341.060503 2.816000  345.721732 2.816000 
345.880441 2.816000  350.459002 2.816000 
350.880441 3.072000  355.866281 3.072000 
355.880441 3.072000  361.054436 3.072000 
361.054436 2.816000  365.788493 2.816000 
365.880441 2.816000  370.497440 2.816000 
370.880441 2.816000  375.468278 2.816000 
375.880441 2.816000  380.523008 2.816000 
380.880441 2.816000  385.534427 2.816000 
385.880441 2.816000  390.494558 2.816000 
390.880441 2.816000  395.469099 2.816000 
395.880441 2.816000  400.453950 2.816000 
400.880441 3.072000  406.057223 3.072000 
406.057223 2.816000  410.693255 2.816000 
410.880441 2.816000  415.480027 2.816000 
415.880441 2.816000  420.446466 2.816000 
420.880441 3.072000  426.021258 3.072000 
426.021258 2.816000  430.720811 2.816000 
430.880441 2.816000  435.538667 2.816000 
435.880441 2.816000  440.480477 2.816000 
440.880441 2.816000  445.484683 2.816000 
445.880441 2.816000  450.526191 2.816000 
450.880441 2.816000  455.568334 2.816000 
455.880441 2.816000  460.510540 2.816000 
460.880441 2.816000  465.479543 2.816000 
465.880441 2.816000  470.451937 2.816000 
470.880441 3.072000  475.963578 3.072000 
475.963578 2.816000  480.712904 2.816000 
480.880441 2.816000  485.578033 2.816000 
485.880441 2.816000  490.461743 2.816000 
490.880441 3.072000  495.875899 3.072000 
495.880441 3.072000  501.052965 3.072000 
501.052965 2.816000  505.746538 2.816000 
505.880441 2.816000  510.499090 2.816000 
510.880441 2.816000  515.440707 2.816000 
515.880441 3.072000  520.937260 3.072000 
520.937260 2.816000  525.718096 2.816000 
525.880441 2.816000  530.559389 2.816000 
530.880441 2.816000  535.443198 2.816000 
535.880441 3.072000  540.911250 3.072000 
540.911250 2.816000  545.687032 2.816000 
545.880441 2.816000  550.549819 2.816000 
550.880441 2.816000  555.463821 2.816000 
555.880441 2.816000  560.434637 2.816000 
560.880441 3.072000  566.059478 3.072000 
566.059478 2.816000  570.781670 2.816000 
570.880441 2.816000  575.528421 2.816000 
575.880441 2.816000  580.461093 2.816000 
580.880441 3.072000  585.993938 3.072000 
585.993938 2.816000  590.714155 2.816000 
590.880441 2.816000  595.524292 2.816000 
595.880441 2.816000  600.475718 2.816000 
600.880441 2.816000  605.476555 2.816000 
605.880441 2.816000  610.529961 2.816000 
610.880441 2.816000  615.595728 2.816000 
615.880441 2.816000  620.515246 2.816000 
620.880441 2.816000  625.475090 2.816000 
625.880441 2.816000  630.474160 2.816000 
630.880441 2.816000  635.570370 2.816000 
635.880441 2.816000  640.519538 2.816000 
640.880441 2.816000  645.456316 2.816000 
645.880441 3.072000  650.853231 3.072000 
650.880441 3.072000  655.972448 3.072000 
655.972448 2.816000  660.613544 2.816000 
660.880441 2.816000  665.444296 2.816000 
665.880441 3.072000  670.904910 3.072000 
670.904910 2.816000  675.674959 2.816000 
675.880441 2.816000  680.553883 2.816000 
680.880441 2.816000  685.475921 2.816000 
685.880441 2.816000  690.437026 2.816000 
690.880441 3.072000  695.764052 3.072000 
695.880441 3.072000  700.987516 3.072000 
700.987516 2.816000  705.660894 2.816000 
705.880441 2.816000  710.387612 2.816000 
710.880441 3.072000  715.720846 3.072000 
715.880441 3.072000  720.999452 3.072000 
720.999452 2.816000  725.648080 2.816000 
725.880441 2.816000  730.409651 2.816000 
730.880441 3.072000  735.710864 3.072000 
735.880441 3.072000  740.977246 3.072000 
740.977246 2.816000  745.618784 2.816000 
745.880441 2.816000  750.403767 2.816000 
750.880441 3.072000  755.741968 3.072000 
755.880441 3.072000  761.008495 3.072000 
761.008495 2.816000  765.676294 2.816000 
765.880441 2.816000  770.408040 2.816000 
770.880441 3.072000  775.764214 3.072000 
775.880441 3.072000  781.017573 3.072000 
781.017573 2.816000  785.657940 2.816000 
785.880441 2.816000  790.426691 2.816000 
790.880441 3.072000  795.795482 3.072000 
795.880441 3.072000  801.034271 3.072000 
801.034271 2.816000  805.703685 2.816000 
805.880441 2.816000  810.414530 2.816000 
810.880441 3.072000  815.755512 3.072000 
815.880441 3.072000  821.000545 3.072000 
821.000545 2.816000  825.689139 2.816000 
825.880441 2.816000  830.428933 2.816000 
830.880441 3.072000  835.615991 3.072000 
835.880441 3.072000  840.796939 3.072000 
840.880441 3.072000  845.922627 3.072000 
845.922627 2.816000  850.462273 2.816000 
850.880441 3.072000  855.611456 3.072000 
855.880441 3.072000  860.772054 3.072000 
860.880441 3.072000  865.874882 3.072000 
865.880441 3.072000  870.937780 3.072000 
870.937780 2.816000  875.407344 2.816000 
875.880441 3.072000  880.567462 3.072000 
880.880441 3.072000  885.748983 3.072000 
885.880441 3.072000  890.873760 3.072000 
890.880441 3.072000  895.936109 3.072000 
895.936109 2.816000  900.355613 2.816000 
900.880441 3.072000  905.627182 3.072000 
905.880441 3.072000  910.966257 3.072000 
910.966257 2.816000  915.607982 2.816000 
915.880441 2.816000  919.306938 2.816000 
920.880441 4.096000  924.185675 4.096000 
925.880441 5.120000  930.035196 5.120000 
930.880441 5.120000  936.252284 5.120000 
936.252284 4.608000  941.545838 4.608000 
941.545838 4.352000  946.634000 4.352000 
946.634000 4.096000  951.459085 4.096000 
951.459085 4.096000  956.305123 4.096000 
956.305123 4.096000  961.146481 4.096000 
961.146481 4.096000  965.906069 4.096000 
965.906069 4.096000  970.580751 4.096000 
970.880441 4.352000  975.681042 4.352000 
975.880441 4.352000  980.385214 4.352000 
980.880441 4.608000  983.504664 4.608000 
985.880441 5.120000  987.859803 5.120000 
990.880441 5.120000  992.872094 5.120000 
995.880441 5.120000  997.838952 5.120000 
1000.880441 5.120000  1002.859920 5.120000 
1005.880441 5.120000  1007.883587 5.120000 
1010.880441 5.120000  1012.878247 5.120000 
1015.880441 5.120000  1017.863395 5.120000 
1020.880441 5.120000  1022.881661 5.120000 
1025.880441 5.120000  1027.836308 5.120000 
1030.880441 5.120000  1032.858991 5.120000 
1035.880441 5.120000  1037.845446 5.120000 
1040.880441 5.120000  1042.846121 5.120000 
1045.880441 5.120000  1047.343683 5.120000 
