# AndroidClient simpson
0 94.231552
1 104.231552
2 114.231552
3 124.231552
4 134.231552
5 144.231552
6 154.231552
7 164.231552
8 174.231552
9 184.231552
10 194.231552
11 204.231552
12 214.231552
13 224.231552
14 234.231552
15 244.231552
16 254.231552
17 264.231552
18 274.231552
19 284.231552
20 294.231552
21 304.231552
22 314.231552
23 324.231552
24 334.231552
25 344.231552
26 354.231552
27 364.231552
28 374.231552
29 384.231552
30 394.231552
31 404.231552
32 414.231552
33 424.231552
34 434.231552
35 444.231552
36 454.231552
37 464.231552
38 474.231552
39 484.231552
40 494.231552
41 504.231552
42 514.231552
43 524.231552
44 534.231552
45 544.231552
46 554.231552
47 564.231552
48 574.231552
49 584.231552
50 594.231552
51 604.231552
52 614.231552
53 624.231552
54 634.231552
55 644.231552
56 654.231552
57 664.231552
58 674.231552
59 684.231552
60 694.231552
61 704.231552
62 714.231552
63 724.231552
64 734.231552
65 744.231552
66 754.231552
67 764.231552
68 774.231552
69 784.231552
70 794.231552
71 804.231552
72 814.231552
73 824.231552
74 834.231552
75 844.231552
76 854.231552
77 864.231552
78 874.231552
79 884.231552
80 894.231552
81 904.231552
82 914.231552
83 924.231552
84 934.231552
85 944.231552
86 954.231552
87 964.231552
88 974.231552
89 984.231552
