#play delay
17.565079 12.565079
108.008656 0.443577
118.229698 0.221042
124.003732 0.774034
129.742908 0.739176
135.501345 0.758437
141.315562 0.814217
147.205853 0.890291
162.221986 0.016133
167.252764 0.030778
172.395482 0.142718
177.546818 0.151336
182.713016 0.166198
187.865112 0.152096
193.085013 0.219901
198.392518 0.307505
203.663872 0.271354
208.915588 0.251716
214.163632 0.248044
219.417126 0.253494
224.673195 0.256069
229.926995 0.253800
235.209603 0.282608
240.494997 0.285394
245.788429 0.293432
251.079716 0.291287
256.351851 0.272135
261.693577 0.341726
267.063829 0.370252
272.354182 0.290353
277.665054 0.310872
282.981969 0.316915
288.344964 0.362995
293.656557 0.311593
298.971980 0.315423
304.305083 0.333103
309.641447 0.336364
314.981715 0.340268
320.332576 0.350861
325.672357 0.339781
331.009127 0.336770
336.328811 0.319684
341.650030 0.321219
346.957944 0.307914
352.263712 0.305768
357.591045 0.327333
362.957821 0.366776
368.280943 0.323122
373.619416 0.338473
378.931023 0.311607
384.263172 0.332149
389.516120 0.252948
394.912101 0.395981
400.219007 0.306906
410.490748 0.271741
420.767983 0.277235
436.134163 0.366180
446.507047 0.372884
456.776764 0.269717
472.020103 0.243339
482.345579 0.325476
492.599442 0.253863
497.940829 0.341387
507.981618 0.040789
513.296119 0.314501
528.554049 0.257930
538.615808 0.061759
548.792774 0.176966
554.256421 0.463647
559.531441 0.275020
574.849004 0.317563
580.402847 0.553843
600.722168 0.319321
606.062534 0.340366
611.639988 0.577454
616.946528 0.306540
632.163563 0.217035
637.498320 0.334757
642.935579 0.437259
648.407718 0.472139
668.596978 0.189260
673.993694 0.396716
679.493191 0.499497
684.576144 0.082953
689.725788 0.149644
705.075072 0.349284
715.331037 0.255965
735.550479 0.219442
740.864836 0.314357
756.193779 0.328943
771.582987 0.389208
791.918181 0.335194
797.321953 0.403772
822.373965 0.052012
827.701579 0.327614
833.018404 0.316825
838.322329 0.303925
843.665925 0.343596
853.808291 0.142366
863.902924 0.094633
869.251596 0.348672
889.254755 0.003159
894.629603 0.374848
899.681442 0.051839
904.838716 0.157274
909.997501 0.158785
915.294433 0.296932
940.656805 0.362372
945.788233 0.131428
