#play delay
9.458859 4.458859
64.458859 0.000000
259.458859 0.000000
304.499611 0.040752
309.611285 0.111674
419.876085 0.264800
429.920429 0.044344
435.099689 0.179260
445.461124 0.361435
455.883593 0.422469
466.274660 0.391067
476.730670 0.456010
496.738683 0.008013
501.895256 0.156573
528.979854 2.084598
536.247678 2.267824
542.354426 1.106748
548.884723 1.530297
554.627787 0.743064
570.416051 0.788264
575.921896 0.505845
796.065277 0.143381
806.082691 0.017414
811.205722 0.123031
816.254947 0.049225
826.326153 0.071206
836.427131 0.100978
841.597818 0.170687
851.743030 0.145212
856.820357 0.077327
861.884439 0.064082
866.976589 0.092150
872.095647 0.119058
897.161114 0.065467
